1|3600|VA463C95234|DEPARTMENT OF VETERANS AFFAIRS                    |36|0|BPA CALL|A|1|0|0|00|VETERANS AFFAIRS, DEPARTMENT OF         |A|260-NETWORK CONTRACT OFFICE 20              |WA|36|VA260BP0003                                       |2009-10-01 00:00:00 |3600|87990|87990|DEPARTMENT OF VETERANS AFFAIRS          |-1|-1|0|    |1300229226|                                        |0|0|0|MEDICAL|MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES|423450|MEDICAL, DENTAL, AND HOSPITAL EQUIP|0|0|0|0|VA463C95234                                       |Q301|LABORATORY TESTING SERVICES        |Q301|Q301 (MEDICAL- LABORATORY TESTING)|-1652973768|1|3600|VA260BP0003|VA|2009-10-01 00:00:00|O|001824663|ROCHE DIAGNOSTICS CORPORATION|ONLY MY AGENCY|2010
1|3600|VA653C06128|DEPARTMENT OF VETERANS AFFAIRS                    |36|0|BPA CALL|A|1|0|320000.04|00|VETERANS AFFAIRS, DEPARTMENT OF         |A|260-NETWORK CONTRACT OFFICE 20              |WA|36|VA260BP0003                                       |2009-10-01 00:00:00 |3600|87990|87990|DEPARTMENT OF VETERANS AFFAIRS          |-1|-1|0|    |1300229226|                                        |0|0|0|MEDICAL|MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES|423450|MEDICAL, DENTAL, AND HOSPITAL EQUIP|320000.04|320000.04|0|0|VA653C06128                                       |Q301|LABORATORY TESTING SERVICES        |Q301|Q301 (MEDICAL- LABORATORY TESTING)|-1652973768|1|3600|VA260BP0003|VA|2009-10-01 00:00:00|O|001824663|ROCHE DIAGNOSTICS CORPORATION|ONLY MY AGENCY|2010
1|3600|VA692C05021|DEPARTMENT OF VETERANS AFFAIRS                    |36|0|BPA CALL|A|1|0|182298|00|VETERANS AFFAIRS, DEPARTMENT OF         |A|260-NETWORK CONTRACT OFFICE 20              |WA|36|VA260BP0003                                       |2009-10-01 00:00:00 |3600|87990|87990|DEPARTMENT OF VETERANS AFFAIRS          |-1|-1|0|    |1300229226|                                        |0|0|0|MEDICAL|MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES|423450|MEDICAL, DENTAL, AND HOSPITAL EQUIP|182298|182298|0|0|VA692C05021                                       |Q301|LABORATORY TESTING SERVICES        |Q301|Q301 (MEDICAL- LABORATORY TESTING)|-1652973768|1|3600|VA260BP0003|VA|2009-10-01 00:00:00|O|001824663|ROCHE DIAGNOSTICS CORPORATION|ONLY MY AGENCY|2010
1|3600|V663C00296|DEPARTMENT OF VETERANS AFFAIRS                    |36|0|BPA CALL|A|1|0|9e+05|00|VETERANS AFFAIRS, DEPARTMENT OF         |A|260-NETWORK CONTRACT OFFICE 20              |WA|36|VA260BP0003                                       |2009-11-25 00:00:00 |3600|87990|87990|DEPARTMENT OF VETERANS AFFAIRS          |-1|-1|0|    |1300229226|                                        |0|0|0|MEDICAL|MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES|423450|MEDICAL, DENTAL, AND HOSPITAL EQUIP|9e+05|9e+05|0|0|V663C00296                                        |Q301|LABORATORY TESTING SERVICES        |Q301|Q301 (MEDICAL- LABORATORY TESTING)|-1652973768|1|3600|VA260BP0003|VA|2009-11-25 00:00:00|O|001824663|ROCHE DIAGNOSTICS CORPORATION|ONLY MY AGENCY|2010
1|3600|VA692C95004|DEPARTMENT OF VETERANS AFFAIRS                    |36|0|BPA CALL|A|1|0|-2330.76|00|VETERANS AFFAIRS, DEPARTMENT OF         |A|260-NETWORK CONTRACT OFFICE 20              |WA|36|VA260BP0003                                       |2009-12-28 00:00:00 |3600|87990|87990|DEPARTMENT OF VETERANS AFFAIRS          |-1|-1|0|    |1300229226|                                        |0|0|0|MEDICAL|MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES|423450|MEDICAL, DENTAL, AND HOSPITAL EQUIP|-2330.76|-2330.76|0|0|VA692C95004                                       |Q301|LABORATORY TESTING SERVICES        |Q301|Q301 (MEDICAL- LABORATORY TESTING)|-1652973768|1|3600|VA260BP0003|VA|2009-12-28 00:00:00|O|001824663|ROCHE DIAGNOSTICS CORPORATION|ONLY MY AGENCY|2010
1|3600|VA537C00034|DEPARTMENT OF VETERANS AFFAIRS                    |36|0|BPA CALL|A|1|0|12933|00|VETERANS AFFAIRS, DEPARTMENT OF         |A|69D-NETWORK CONTRACT OFFICE 12              |WI|36|VA69DBP0026                                       |2009-10-01 00:00:00 |3600|194870|194870|DEPARTMENT OF VETERANS AFFAIRS          |-1|-1|0|null|1300229226|                                        |0|0|0|MEDICAL|MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES|339111|LABORATORY APPARATUS AND FURNITURE |12933|12933|0|0|VA537C00034                                       |Q301|LABORATORY TESTING SERVICES        |Q301|Q301 (MEDICAL- LABORATORY TESTING)|-1652973768|1|3600|VA69DBP0026|VA|2009-10-01 00:00:00|O|798318598|SIEMENS MEDICAL SOLUTIONS DIAGNOSTICS|ONLY MY AGENCY|2010
1|3600|VA556C00026|DEPARTMENT OF VETERANS AFFAIRS                    |36|0|BPA CALL|A|1|0|19400.52|00|VETERANS AFFAIRS, DEPARTMENT OF         |A|69D-NETWORK CONTRACT OFFICE 12              |WI|36|VA69DBP0026                                       |2009-10-01 00:00:00 |3600|194870|194870|DEPARTMENT OF VETERANS AFFAIRS          |-1|-1|0|null|1300229226|                                        |0|0|0|MEDICAL|MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES|339111|LABORATORY APPARATUS AND FURNITURE |19400.52|19400.52|0|0|VA556C00026                                       |Q301|LABORATORY TESTING SERVICES        |Q301|Q301 (MEDICAL- LABORATORY TESTING)|-1652973768|1|3600|VA69DBP0026|VA|2009-10-01 00:00:00|O|798318598|SIEMENS MEDICAL SOLUTIONS DIAGNOSTICS|ONLY MY AGENCY|2010
1|3600|VA578C00035|DEPARTMENT OF VETERANS AFFAIRS                    |36|0|BPA CALL|A|1|0|91999.8|00|VETERANS AFFAIRS, DEPARTMENT OF         |A|69D-NETWORK CONTRACT OFFICE 12              |WI|36|VA69DBP0026                                       |2009-10-01 00:00:00 |3600|194870|194870|DEPARTMENT OF VETERANS AFFAIRS          |-1|-1|0|null|1300229226|                                        |0|0|0|MEDICAL|MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES|339111|LABORATORY APPARATUS AND FURNITURE |91999.8|91999.8|0|0|VA578C00035                                       |Q301|LABORATORY TESTING SERVICES        |Q301|Q301 (MEDICAL- LABORATORY TESTING)|-1652973768|1|3600|VA69DBP0026|VA|2009-10-01 00:00:00|O|798318598|SIEMENS MEDICAL SOLUTIONS DIAGNOSTICS|ONLY MY AGENCY|2010
1|3600|VA585C00018|DEPARTMENT OF VETERANS AFFAIRS                    |36|0|BPA CALL|A|1|0|3e+04|00|VETERANS AFFAIRS, DEPARTMENT OF         |A|69D-NETWORK CONTRACT OFFICE 12              |WI|36|VA69DBP0026                                       |2009-10-01 00:00:00 |3600|194870|194870|DEPARTMENT OF VETERANS AFFAIRS          |-1|-1|0|null|1300229226|                                        |0|0|0|MEDICAL|MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES|339111|LABORATORY APPARATUS AND FURNITURE |3e+04|3e+04|0|0|VA585C00018                                       |Q301|LABORATORY TESTING SERVICES        |Q301|Q301 (MEDICAL- LABORATORY TESTING)|-1652973768|1|3600|VA69DBP0026|VA|2009-10-01 00:00:00|O|798318598|SIEMENS MEDICAL SOLUTIONS DIAGNOSTICS|ONLY MY AGENCY|2010
1|3600|VA607C00032|DEPARTMENT OF VETERANS AFFAIRS                    |36|0|BPA CALL|A|1|0|2.736e+04|00|VETERANS AFFAIRS, DEPARTMENT OF         |A|69D-NETWORK CONTRACT OFFICE 12              |WI|36|VA69DBP0026                                       |2009-10-01 00:00:00 |3600|194870|194870|DEPARTMENT OF VETERANS AFFAIRS          |-1|-1|0|null|1300229226|                                        |0|0|0|MEDICAL|MEDICAL EQUIPMENT AND ACCESSORIES AND SUPPLIES|339111|LABORATORY APPARATUS AND FURNITURE |2.736e+04|2.736e+04|0|0|VA607C00032                                       |Q301|LABORATORY TESTING SERVICES        |Q301|Q301 (MEDICAL- LABORATORY TESTING)|-1652973768|1|3600|VA69DBP0026|VA|2009-10-01 00:00:00|O|798318598|SIEMENS MEDICAL SOLUTIONS DIAGNOSTICS|ONLY MY AGENCY|2010
